game_date,home_team,away_team,home_ml_odds,away_ml_odds,bookmaker,snapshot_timestamp,api_game_id
2024-11-01,NOP,IND,140,-180,DraftKings,2024-11-02T00:25:39Z,7a829c48eb616be7d32bb1ea8f06b0e2
2024-11-01,MIN,DEN,-180,150,DraftKings,2024-11-02T00:25:39Z,346bdb44d864cef818dec9050320d883
2024-11-01,POR,OKC,455,-625,DraftKings,2024-11-02T00:25:39Z,3df5560073801880965b6f162a21ec36
2024-11-02,TOR,SAC,114,-145,DraftKings,2024-11-03T00:25:38Z,d087a0df2d70a552190892fb8437a2f8
2024-11-02,SAS,MIN,154,-200,DraftKings,2024-11-03T00:25:38Z,dd70c59ef34cad65eae610a55f9f1b1f
2024-11-02,PHI,MEM,-188,145,DraftKings,2024-11-03T00:25:38Z,6804bef5473a20af6f1961f35222d029
2024-11-02,HOU,GSW,120,-154,DraftKings,2024-11-03T00:25:38Z,d0795fd9220c18669a07a0482b1c7d12
2024-11-02,MIL,CLE,-375,270,DraftKings,2024-11-03T00:25:38Z,c964ff35d3877fe2cc177840e7849b56
2024-11-02,DEN,UTA,-575,425,DraftKings,2024-11-03T00:25:38Z,9d4e84b4698222b4a7268cc54d4702e2
2024-11-02,PHX,POR,-900,600,DraftKings,2024-11-03T00:25:38Z,c240b61df0fe48c2f99bd6a768215273
2024-11-02,LAC,OKC,185,-225,DraftKings,2024-11-03T00:25:38Z,1f282e297378b2bf5962666aff292e7c
2024-11-03,NOP,ATL,145,-188,DraftKings,2024-11-04T00:25:38Z,a3522d8758b3a10aa1a60ad4cd23db58
2024-11-03,DAL,ORL,-265,215,DraftKings,2024-11-04T00:25:38Z,de5c040a818f5bd3daaf5b0fd3ccaa87
2024-11-04,CLE,MIL,-445,310,DraftKings,2024-11-05T00:25:39Z,a8a342f91ff1a2a962cd0208f6d134ae
2024-11-04,WAS,GSW,500,-810,DraftKings,2024-11-05T00:25:39Z,6e5283e3561335f5b8aaa8ac235a3649
2024-11-04,DET,LAL,230,-285,DraftKings,2024-11-05T00:25:39Z,4a65852b312d2567a2416479d4e7865d
2024-11-04,ATL,BOS,390,-520,DraftKings,2024-11-05T00:25:39Z,3daf8c9d55f6171788c9c9be784d1c0d
2024-11-04,BKN,MEM,160,-192,DraftKings,2024-11-05T00:25:39Z,5bfef772da68c1f21b2f64b5d51a8335
2024-11-04,MIA,SAC,-115,-105,DraftKings,2024-11-05T00:25:39Z,df0ba6367cbeced18131b9ebb7a1fb0a
2024-11-04,CHI,UTA,-310,250,DraftKings,2024-11-05T00:25:39Z,d915fdc124456eba7588db14472b11e4
2024-11-04,HOU,NYK,105,-125,DraftKings,2024-11-05T00:25:39Z,0699f97f41299dacc9f8925b8578f6e4
2024-11-04,MIN,CHA,-470,360,DraftKings,2024-11-05T00:25:39Z,5c9b05d1970612383a2610f28c75dbab
2024-11-04,OKC,ORL,-850,575,DraftKings,2024-11-05T00:25:39Z,fae985eb0a67b6ab4ebc41b1b48bd8d7
2024-11-04,NOP,POR,-142,120,DraftKings,2024-11-05T00:25:39Z,656e5296ddc350f402a0fc488696ef99
2024-11-04,DAL,IND,-205,170,DraftKings,2024-11-05T00:25:39Z,39e379d0f4ea095a76ea00b31c461146
2024-11-04,DEN,TOR,-550,410,DraftKings,2024-11-05T00:25:39Z,cd22e81b39058cad060b23ff583d705f
2024-11-04,PHX,PHI,-290,235,DraftKings,2024-11-05T00:25:39Z,f5d380ca5f80d45b776b8cc4365ef870
2024-11-04,LAC,SAS,-175,145,DraftKings,2024-11-05T00:25:39Z,e77b1486f5db9ced78ba28c74434339e
2024-11-06,CHA,DET,120,-154,DraftKings,2024-11-07T00:25:39Z,d8a4500a8cc85a77dcea342ae4099316
2024-11-06,IND,ORL,-375,270,DraftKings,2024-11-07T00:25:39Z,bc5e0e6e79a5d82ad2b20e991492db8c
2024-11-06,ATL,NYK,230,-285,DraftKings,2024-11-07T00:25:39Z,55e42ff38d847dc50703546e7493cce2
2024-11-06,BOS,GSW,-265,215,DraftKings,2024-11-07T00:25:39Z,6dc1349cbc1293f743feb18946ff2f4c
2024-11-06,NOP,CLE,205,-250,DraftKings,2024-11-07T00:25:39Z,2aca7da4384db5d91c0bf5e7ef8bad3e
2024-11-06,HOU,SAS,-270,220,DraftKings,2024-11-07T00:25:39Z,e11aab280c73770d02d2a81c162debeb
2024-11-06,MEM,LAL,-175,145,DraftKings,2024-11-07T00:25:39Z,8a6e6ad9eff01832c4dcc8085227f319
2024-11-06,DAL,CHI,-500,380,DraftKings,2024-11-07T00:25:39Z,c109fa8f6b5af24ef9718aed21811c35
2024-11-06,DEN,OKC,225,-278,DraftKings,2024-11-07T00:25:39Z,9e3ad3534d3b3a6702d2ee41b756ec3d
2024-11-06,PHX,MIA,-198,164,DraftKings,2024-11-07T00:25:39Z,6b8b7ee373af6d1ae89c0f2940635b00
2024-11-06,LAC,PHI,-125,102,DraftKings,2024-11-07T00:25:39Z,b66e2dcd5f73800d50d9e6cedb0f5816
2024-11-06,SAC,TOR,-625,455,DraftKings,2024-11-07T00:25:39Z,cb8bf9aed92604c1334706f5c0c82c57
2024-11-07,CHI,MIN,330,-425,DraftKings,2024-11-08T00:25:39Z,84d6b1ca05b2ad858b5b9ac52ea4b0ee
2024-11-07,MIL,UTA,-470,360,DraftKings,2024-11-08T00:25:39Z,1e6137994854a6163d6f9fea8dc6e83e
2024-11-07,SAS,POR,-170,142,DraftKings,2024-11-08T00:25:39Z,808cd638f31e1657b3c5cd3841a76b4a
2024-11-08,CHA,IND,120,-154,DraftKings,2024-11-09T00:25:39Z,12242c9b25747345d3b9251f19ae8065
2024-11-08,ORL,NOP,-810,500,DraftKings,2024-11-09T00:25:39Z,faadb19c2f6776135eeabc11eee01d67
2024-11-08,DET,ATL,-375,270,DraftKings,2024-11-09T00:25:39Z,a8ecc9d55ef3ef2d1ae9e2ef518cb059
2024-11-08,BOS,BKN,-900,600,DraftKings,2024-11-09T00:25:39Z,b432836ef47656bc4bb88d999827ba26
2024-11-08,CLE,GSW,-162,136,DraftKings,2024-11-09T00:25:39Z,8dadd3e43cf1e51c8b709476bc0afff7
2024-11-08,DAL,PHX,-135,114,DraftKings,2024-11-09T00:25:39Z,13171f5216a88dd17acb9052569ad894
2024-11-08,NYK,MIL,-250,205,DraftKings,2024-11-09T00:25:39Z,da5d3ecb8094a13ab7c7c8e7997e0ae8
2024-11-08,MEM,WAS,-310,250,DraftKings,2024-11-09T00:25:39Z,1ec253bda365ce2183af3ac8e70f8342
2024-11-08,OKC,HOU,-345,275,DraftKings,2024-11-09T00:25:39Z,c59598a6a551486fcd9943a821ed9f0f
2024-11-08,DEN,MIA,-155,130,DraftKings,2024-11-09T00:25:39Z,1eaaa199fcb79189ebcfa731fdcaf5d0
2024-11-08,MIN,POR,-750,525,DraftKings,2024-11-09T00:25:39Z,a50aa9b1ee0c9e8f42406a9168d33ec0
2024-11-08,SAC,LAC,-250,205,DraftKings,2024-11-09T00:25:39Z,57e8fedc4a95d37b5d52f3a4a529c353
2024-11-08,LAL,PHI,-305,245,DraftKings,2024-11-09T00:25:39Z,16610ec97fb84294cf3c0fc7f7f31a5b
2024-11-09,SAS,UTA,195,-260,DraftKings,2024-11-10T00:25:38Z,8504db816d5b4c739b490bd225691a89
2024-11-09,CLE,BKN,-850,575,DraftKings,2024-11-10T00:25:38Z,d5e0219685ec27694d99dde4f7d3cbb9
2024-11-09,ATL,CHI,-135,114,DraftKings,2024-11-10T00:25:38Z,e18731fc875e44084ff38e50db6a0161
2024-11-09,LAC,TOR,-250,205,DraftKings,2024-11-10T00:25:38Z,f0602ae5c6b288647779977a72a8e250
2024-11-10,IND,NYK,-1950,950,DraftKings,2024-11-11T00:25:37Z,8ba94b6f56fc0bb50bd04ad13e2b73fb
2024-11-10,ORL,WAS,-810,500,DraftKings,2024-11-11T00:25:37Z,2f1d263e41f6003cbc4dbfbba0adc84e
2024-11-10,PHI,CHA,-175,135,DraftKings,2024-11-11T00:25:37Z,5ba3634de6acb1ee1df9993f24229994
2024-11-10,MIN,MIA,-245,185,DraftKings,2024-11-11T00:25:37Z,22966137a0b1df67555591c1a15cb76e
2024-11-10,OKC,GSW,-315,230,DraftKings,2024-11-11T00:25:37Z,e4f700f813869b6430e7db005a85a087
2024-11-10,DEN,DAL,-135,114,DraftKings,2024-11-11T00:25:37Z,95c6606a73e1218dfde3a620a8f70281
2024-11-10,PHX,SAC,-108,-112,DraftKings,2024-11-11T00:25:37Z,2186b9470c9e358ca60ec9f62eb383ab
2024-11-10,POR,MEM,-102,-118,DraftKings,2024-11-11T00:25:37Z,6b8494ce0f87df2a92dd6c1b2e96821f
2024-11-10,LAL,TOR,-550,410,DraftKings,2024-11-11T00:25:37Z,86063535fd6ffaed9aab4bfd1a0082c4
2024-11-11,NOP,BKN,100,-120,DraftKings,2024-11-12T00:25:37Z,4c65fb969ac80375654b3bf008db7e8a
2024-11-11,CHI,CLE,275,-345,DraftKings,2024-11-12T00:25:37Z,f6332b5b82fa9a4e4b1e2be7091171cc
