number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bynode,params_colsample_bytree,params_gamma,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,user_attrs_best_iteration,user_attrs_std_logloss,state
123,0.6598007109517388,2025-12-10 15:47:02.045469,2025-12-10 15:47:04.775852,0 days 00:00:02.730383,0.4809576726641426,0.46155345434985784,0.6025403145155221,1.630575660872992,0.017384727603596575,9,8,96,2982,0.04591568275528893,0.001103073417357898,1.0157393413111702,0.7933742293974714,534,0.005010632652518945,COMPLETE
124,0.6592748970832243,2025-12-10 15:47:04.775852,2025-12-10 15:47:07.736815,0 days 00:00:02.960963,0.5095677576684539,0.7680379251487242,0.6180595902097907,1.1397727892831298,0.01271486912004322,5,9,39,3229,0.13263264161419316,0.0031496342891810785,1.0416421839491345,0.7191839506230615,349,0.005060396433848623,COMPLETE
125,0.6600243497751673,2025-12-10 15:47:07.739832,2025-12-10 15:47:10.714923,0 days 00:00:02.975091,0.5542740605865747,0.9070856856804539,0.5924375594601924,2.2497670965258396,0.01071212311307243,6,9,26,3110,0.02933388803340308,0.0016369635859598223,0.971249232696145,0.7751902142223519,290,0.004115253874881765,COMPLETE
126,0.6592322605419675,2025-12-10 15:47:10.717332,2025-12-10 15:47:13.199465,0 days 00:00:02.482133,0.8720412991854648,0.9987514749354592,0.5603741203685911,2.90734295793814,0.01354397186157755,0,11,74,3484,0.014373603081703972,0.05801015304225592,0.9923906043932517,0.7644869358119708,378,0.0054437317174235705,COMPLETE
127,0.6599415195449863,2025-12-10 15:47:13.201468,2025-12-10 15:47:14.677875,0 days 00:00:01.476407,0.7956501412780875,0.8820121981346096,0.6753708705396034,0.34891883243176536,0.026251757622694345,1,8,33,3298,0.4108078647015652,0.005866559254141965,1.031399257509226,0.7449310002109722,114,0.004926549656425759,COMPLETE
128,0.6597876725128078,2025-12-10 15:47:14.679877,2025-12-10 15:47:16.591670,0 days 00:00:01.911793,0.8496000303602244,0.8925600613344375,0.550478406046112,3.1051678282938076,0.01505809622673248,3,7,88,2923,0.023947843032836223,0.010849600801721149,0.9824473223111745,0.8099486787412241,303,0.004515082881110828,COMPLETE
129,0.6595277799383834,2025-12-10 15:47:16.593173,2025-12-10 15:47:18.062153,0 days 00:00:01.468980,0.7660167894673658,0.8579525914405837,0.6468855224713036,1.8825628919919097,0.022456492188122717,7,10,41,3164,0.038110105184901606,0.0033851300036281846,0.9349624763184871,0.7549961362900727,130,0.004865279995221681,COMPLETE
130,0.6590447936942344,2025-12-10 15:47:18.064162,2025-12-10 15:47:20.628685,0 days 00:00:02.564523,0.8150982099601609,0.8161444150262223,0.6314374466249245,0.7009205254825066,0.012027372700140797,10,9,71,3608,0.26184129863524636,0.008819320845305324,1.0094804922478122,0.6914177634593548,383,0.005044113854102904,COMPLETE
131,0.6597933559502287,2025-12-10 15:47:20.630695,2025-12-10 15:47:22.826826,0 days 00:00:02.196131,0.8119683125338114,0.8212029991655239,0.6304925648036641,0.5918652757228787,0.011586799305295393,10,9,68,3632,0.23491102743203124,0.008471516359118166,1.0107131394050606,0.6495652855906471,320,0.004286282748453575,COMPLETE
132,0.6593786713775638,2025-12-10 15:47:22.828828,2025-12-10 15:47:26.601281,0 days 00:00:03.772453,0.4396104122702569,0.788025484882709,0.6628097906106625,1.1094024891300571,0.009928864070508369,0,9,22,3419,1.5418691358657421,0.014777590104606338,0.9569418218116447,0.6858954583999824,388,0.005126701555292488,COMPLETE
