number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bynode,params_colsample_bytree,params_gamma,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,state
1268,0.5432861943482943,2025-12-12 04:51:51.685024,2025-12-12 04:52:05.902740,0 days 00:00:14.217716,0.5001889767943537,0.5137046679124319,0.5110244053037938,2.203851028149499,0.05107382212994155,10,9,22,2272,9.988241774279912,0.09769829268610898,0.9001853300862319,0.589991592581271,COMPLETE
1269,0.5538132768254662,2025-12-12 04:52:05.904750,2025-12-12 04:52:16.556718,0 days 00:00:10.651968,0.5135480287942032,0.5140225437005878,0.5119983476673696,2.9495242354034383,0.023583478737333866,9,9,23,2215,10.42361548171651,0.23611963817957402,0.9001186970645737,0.5810195218046704,COMPLETE
1270,0.5552064247301456,2025-12-12 04:52:16.560483,2025-12-12 04:52:29.652581,0 days 00:00:13.092098,0.5002449352841551,0.5132316520625274,0.5165827861629243,2.9161393292148885,0.011153490549362944,10,9,24,2285,9.66604338377139,0.21472631790875576,0.9045647558737169,0.5753686970772589,COMPLETE
1271,0.5532004308242326,2025-12-12 04:52:29.656352,2025-12-12 04:52:43.386645,0 days 00:00:13.730293,0.5003114749400941,0.5115852014873228,0.5105193135500381,2.9949766845323076,0.011124556725830199,10,9,24,2252,8.743919689899094,0.1554930114424076,0.9047372106582274,0.5859654997345275,COMPLETE
1272,0.5519843614498869,2025-12-12 04:52:43.388659,2025-12-12 04:52:57.423603,0 days 00:00:14.034944,0.5002300333463215,0.5106638437545269,0.5109985703321936,2.9971098365290154,0.010753219669173746,10,9,24,2290,9.289135316445986,0.20570757315687677,0.9072068456614458,0.5772653439463091,COMPLETE
1273,0.5531098787657102,2025-12-12 04:52:57.427625,2025-12-12 04:53:11.747282,0 days 00:00:14.319657,0.5058181909537005,0.5135996308342725,0.5166965667158732,2.9110272241862565,0.010430979644432537,10,9,25,2213,9.643493290291527,0.2650687039585305,0.9037192892978866,0.5800027464110395,COMPLETE
1274,0.5540569457484578,2025-12-12 04:53:11.749294,2025-12-12 04:53:24.458249,0 days 00:00:12.708955,0.5087192951655412,0.5084779423368417,0.506336222779088,2.997058038803775,0.011060004841360153,10,9,24,2339,9.659016291747298,0.21084610350394997,0.9000686981727034,0.5919440337594007,COMPLETE
1275,0.553507115277842,2025-12-12 04:53:24.460001,2025-12-12 04:53:39.341912,0 days 00:00:14.881911,0.5001279934409001,0.5069723136235254,0.5166471298048905,2.9976971301847666,0.01045993958813874,10,9,24,2279,8.924709921261112,0.1454828115060271,1.0874756675840689,0.5716181683237476,COMPLETE
1276,0.5536937224668379,2025-12-12 04:53:39.343928,2025-12-12 04:53:53.447895,0 days 00:00:14.103967,0.5097086257173398,0.6415432266163187,0.5099248633596217,2.922805084060959,0.011013125278198246,10,9,23,2309,10.086180883751753,0.2521769946013601,0.9094523490721884,0.5750143561769294,COMPLETE
1277,0.5533967516305122,2025-12-12 04:53:53.451931,2025-12-12 04:54:09.746565,0 days 00:00:16.294634,0.505772077441529,0.514797667778284,0.5053179260040676,2.997496472363071,0.010536050302440645,10,9,25,2403,9.578574273917045,0.18668625362288302,0.900015436560621,0.5695497735677935,COMPLETE
1278,0.5522224660883953,2025-12-12 04:54:09.749589,2025-12-12 04:54:22.197276,0 days 00:00:12.447687,0.5140297510319709,0.5068885837905857,0.5168672126804635,2.90272465572567,0.011120155802523653,10,9,24,2258,10.630161252434405,0.2892574708425689,0.9049353281038844,0.5662883627443954,COMPLETE
1279,0.5505383894367667,2025-12-12 04:54:22.201303,2025-12-12 04:54:33.247030,0 days 00:00:11.045727,0.5001094298457784,0.5132209193854184,0.5103384270940942,2.9253034562087903,0.034772169486792216,10,9,23,2343,10.069039243100367,0.12194420995501462,0.9067153023364883,0.5785918475242721,COMPLETE
1280,0.5529455872745194,2025-12-12 04:54:33.249042,2025-12-12 04:54:46.609465,0 days 00:00:13.360423,0.5097804854460753,0.5057579182687524,0.5042128033097845,2.9405541761896705,0.01040214894562583,10,9,22,2372,9.937214352607072,0.18576705130416887,0.9099073026038587,0.5617055692476843,COMPLETE
1281,0.5534740728037484,2025-12-12 04:54:46.611476,2025-12-12 04:55:01.475613,0 days 00:00:14.864137,0.5181982623319441,0.5140042524357005,0.516841391866315,2.998966557656637,0.0100048994543452,10,9,24,2196,10.523798193163104,0.24934308268563557,0.9037658568934268,0.5740729766889154,COMPLETE
1282,0.5502131710027048,2025-12-12 04:55:01.479637,2025-12-12 04:55:13.792995,0 days 00:00:12.313358,0.5074778090058715,0.5093976119250121,0.5108354480785338,2.9014278082436613,0.026686173030704127,10,9,25,2297,9.498680017329042,0.35414258719501157,1.0692534387043795,0.5844059910491055,COMPLETE
1283,0.5532245876768085,2025-12-12 04:55:13.795007,2025-12-12 04:55:26.500965,0 days 00:00:12.705958,0.5129751601717805,0.5000583309115838,0.5052844805632735,2.9059287080201184,0.01079280083013963,10,9,23,2240,10.642472934706257,0.37741587147543065,0.9065314263091384,0.558573669454665,COMPLETE
1284,0.553687965193786,2025-12-12 04:55:26.502723,2025-12-12 04:55:39.625561,0 days 00:00:13.122838,0.5051560072404506,0.5067080604195539,0.5178311254971071,2.941374219954096,0.01104147241800506,10,9,22,2362,10.210614460802924,0.14174299626569586,0.900176900719741,0.5641640922006749,COMPLETE
1285,0.5519342285266509,2025-12-12 04:55:39.627573,2025-12-12 04:55:53.328643,0 days 00:00:13.701070,0.5183013257355348,0.5000703775472849,0.5006570002925856,2.9991449370828995,0.010439089206333454,10,9,24,2330,8.791306855995744,0.22813638855514087,0.9098765268531049,0.5554857006656994,COMPLETE
1286,0.5510061133781381,2025-12-12 04:55:53.330658,2025-12-12 04:56:13.877108,0 days 00:00:20.546450,0.5054708771077444,0.5131880570121587,0.5109725818635849,1.8283181806180182,0.01001120295370627,10,9,23,2410,9.837412500127142,0.3127233203919556,0.9043659932787939,0.5700902577319825,COMPLETE
1287,0.5544932381640593,2025-12-12 04:56:13.879120,2025-12-12 04:56:27.444502,0 days 00:00:13.565382,0.5119196042356245,0.5055272802098707,0.5166717229620578,2.883846366294203,0.011182680659008693,9,9,22,2280,10.739350560593543,0.18888612173061875,0.9034656140498428,0.5438073425132658,COMPLETE
1288,0.5489711308990799,2025-12-12 04:56:27.446515,2025-12-12 04:56:40.811988,0 days 00:00:13.365473,0.518393605396434,0.513841105312472,0.5054989857084801,2.9406992301318358,0.05493525707180418,10,9,23,2317,10.325077172045328,0.45208164735709233,0.9073825257266528,0.5540350228032155,COMPLETE
1289,0.5515997424079572,2025-12-12 04:56:40.814001,2025-12-12 04:56:52.392915,0 days 00:00:11.578914,0.5060436391302199,0.500051856242357,0.5124605953920178,2.885220291834881,0.02100650949415633,10,9,25,2256,9.336244218744532,0.2719866863502843,0.9035823356170651,0.5911399833979533,COMPLETE
1290,0.5531953237887226,2025-12-12 04:56:52.394930,2025-12-12 04:57:09.694987,0 days 00:00:17.300057,0.5118169616728622,0.7156885755208345,0.500272257638011,2.942609377905351,0.010435058497198765,10,9,24,2355,10.904099185249457,0.10763249904090005,0.9105030569915498,0.5779251655257748,COMPLETE
1291,0.5483369868549914,2025-12-12 04:57:09.699017,2025-12-12 04:57:30.601146,0 days 00:00:20.902129,0.5054030724178876,0.5100490640680331,0.5115643097260342,1.1836805156992891,0.010896301444814706,10,9,22,2200,9.797238729474765,0.1625994737080466,0.9072761558583583,0.5279326643994754,COMPLETE
1292,0.5532647241237978,2025-12-12 04:57:30.603155,2025-12-12 04:57:43.813775,0 days 00:00:13.210620,0.515500261778106,0.50005745524275,0.5187336501885739,2.8923824311283193,0.010490830198877608,10,9,24,2405,10.466413933512145,0.40132887909670595,0.9040151050323655,0.5699416102426305,COMPLETE
1293,0.5535514164159221,2025-12-12 04:57:43.817824,2025-12-12 04:57:59.196887,0 days 00:00:15.379063,0.51076933886225,0.5086467716403793,0.5002293930742321,2.94443987104286,0.011190506200205248,10,9,23,2300,8.433453768810143,0.20958746622149826,0.9039926227441826,0.5630855076332095,COMPLETE
1294,0.5539653063644684,2025-12-12 04:57:59.200921,2025-12-12 04:58:12.728413,0 days 00:00:13.527492,0.5198943062175923,0.5160406289702979,0.5064258812091815,2.896901713107798,0.01069171717379456,10,9,22,2238,10.978436596745835,0.31664593248492273,0.9002486756551752,0.5443864385755987,COMPLETE
1295,0.5540063437985268,2025-12-12 04:58:12.730430,2025-12-12 04:58:26.258753,0 days 00:00:13.528323,0.505218569542051,0.5063280585240655,0.5161974163072671,2.87223267014459,0.010484001387469704,10,9,23,2371,10.019047163571495,0.23495888220504194,0.9089344590490035,0.5600193226496695,COMPLETE
1296,0.5481656545824161,2025-12-12 04:58:26.260513,2025-12-12 04:58:36.903773,0 days 00:00:10.643260,0.5001017050039805,0.5144920575141436,0.5106673781329194,2.9480519394268896,0.07320393168798688,10,9,23,2299,10.612817019515408,0.1447430886294432,0.9106879797681251,0.5387931714892411,COMPLETE
