game_date,matchup,model_prob,edge,kelly_frac,bet_size,won,profit,bankroll,penalty_reason
2025-03-15,IND @ MIL,0.67594516,0.15194516000000002,0.11181969260000005,18090013010.711338,True,16443821826.736607,242568984460.62833,No penalty
2025-03-15,NYK @ GSW,0.5759815,0.051981500000000014,0.03834640250000006,9301647912.143513,True,8455197952.1384535,251024182412.76678,No penalty
2025-03-15,WAS @ DEN,0.65687037,0.13287037000000002,0.09779972195000003,20081934593.021343,False,-20081934593.021343,230942247819.74545,No penalty
2025-03-16,CHA @ LAC,0.749779,0.22577899999999995,0.166087565,18475379825.579636,True,16794120261.451889,247736368081.19733,No penalty
2025-03-16,PHI @ DAL,0.57329565,0.049295650000000024,0.036372302750000064,9010742182.034761,False,-9010742182.034761,238725625899.16257,No penalty
2025-03-16,PHX @ LAL,0.62822086,0.10422085999999997,0.07674233209999999,18320361263.533894,True,16653208388.552309,255378834287.71487,No penalty
2025-03-16,TOR @ POR,0.6555859,0.13158590000000003,0.09685563650000004,20430306743.01719,True,18571148829.402626,273949983117.1175,No penalty
2025-03-16,UTA @ MIN,0.64849085,0.12449084999999993,0.09164077474999996,21915998649.3694,True,19921642772.276787,293871625889.3943,No penalty
2025-03-16,OKC @ MIL,0.59036815,0.06636814999999996,0.04892059025000001,14376373396.236351,False,-14376373396.236351,279495252493.15796,No penalty
2025-03-16,ORL @ CLE,0.7125547,0.18855469999999996,0.1387277045,22359620199.452637,False,-22359620199.452637,257135632293.70532,No penalty
2025-03-17,DET @ NOP,0.6639585,0.13995849999999999,0.10300949750000002,20570850583.496426,False,-20570850583.496426,236564781710.2089,No penalty
2025-03-17,SAS @ LAL,0.5701865,0.04618650000000002,0.03408707750000003,8063802047.926479,True,7329996061.56517,243894777771.77405,No penalty
2025-03-17,MIA @ NYK,0.6107338,0.08673379999999997,0.06388934299999999,15582277112.969645,True,14164289895.689407,258059067667.46344,No penalty
2025-03-17,PHI @ HOU,0.5780383,0.054038299999999984,0.03985815050000001,10285757156.979445,True,9349753255.694315,267408820923.15775,No penalty
2025-03-17,IND @ MIN,0.573957,0.04995700000000003,0.03685839500000006,9856259948.070028,False,-9856259948.070028,257552560975.0877,No penalty
2025-03-17,TOR @ PHX,0.59651756,0.07251755999999998,0.053440406600000004,13763713579.37998,True,12511215643.656403,270063776618.7441,No penalty
2025-03-17,MEM @ SAC,0.57508427,0.05108426999999993,0.03768693844999998,10177876927.005152,True,9251690126.647684,279315466745.3918,No penalty
2025-03-17,WAS @ POR,0.60926825,0.08526824999999993,0.06281216374999996,17544408835.119217,True,15947867631.12337,295263334376.51514,No penalty
2025-03-18,ATL @ CHA,0.5981998,0.07419979999999993,0.054676852999999984,16144069929.99456,False,-16144069929.99456,279119264446.52057,No penalty
2025-03-18,BKN @ BOS,0.74561954,0.22161953999999995,0.1630303619,22329541155.721645,True,20297552910.550976,299416817357.07153,No penalty
2025-03-18,CLE @ LAC,0.5932849,0.06928489999999998,0.05106440150000003,15289540577.373678,True,13898192384.832674,313315009741.90424,No penalty
2025-03-18,MIL @ GSW,0.5613323,0.037332299999999985,0.02757924050000002,8640990005.931826,True,7854659915.39203,321169669657.29626,No penalty
2025-03-19,DAL @ IND,0.6310516,0.10705160000000002,0.07882292600000004,25315533104.841522,True,23011819592.300945,344181489249.5972,No penalty
2025-03-19,DET @ MIA,0.6579319,0.1339319,0.09857994650000003,27534519139.967777,False,-27534519139.967777,316646970109.62946,No penalty
2025-03-19,PHI @ OKC,0.58947736,0.06547735999999993,0.04826585959999999,15283238202.076769,True,13892463525.687784,330539433635.31726,No penalty
2025-03-19,NOP @ MIN,0.6279444,0.10394439999999994,0.076539134,25299202003.297653,False,-25299202003.297653,305240231632.0196,No penalty
2025-03-19,CLE @ SAC,0.6279771,0.10397709999999993,0.07656316849999996,23370159287.421333,True,21243474792.26599,326483706424.2856,No penalty
2025-03-19,WAS @ UTA,0.6908121,0.16681210000000002,0.12274689350000002,26118696513.94285,True,23741895131.17405,350225601555.45966,No penalty
2025-03-19,CHI @ PHX,0.62145376,0.09745375999999994,0.07176851359999999,25135170848.30118,True,22847870301.105774,373073471856.5654,No penalty
2025-03-19,MEM @ POR,0.62625,0.10224999999999995,0.07529374999999999,28090100721.60027,True,25533901555.934647,398607373412.50006,No penalty
2025-03-20,TOR @ GSW,0.67539346,0.15139345999999998,0.11141419310000002,31888589873.000004,True,28986728194.557003,427594101607.05707,No penalty
2025-03-20,BKN @ IND,0.5930837,0.06908369999999997,0.05091651950000002,21771603412.56071,True,19790387502.01769,447384489109.07477,No penalty
2025-03-20,CHI @ SAC,0.598667,0.07466699999999993,0.05502024499999997,24615204199.98111,False,-24615204199.98111,422769284909.0936,No penalty
2025-03-21,HOU @ MIA,0.64788806,0.12388805999999997,0.0911977241,33821542792.72749,False,-33821542792.72749,388947742116.36615,No penalty
2025-03-21,CHA @ OKC,0.7008947,0.17689469999999996,0.13015760449999997,31115819369.30929,True,28284279806.70215,417232021923.0683,No penalty
2025-03-21,NOP @ MIN,0.61505,0.09104999999999996,0.06706174999999999,27980309546.19932,True,25434101377.495186,442666123300.5635,No penalty
2025-03-21,DET @ DAL,0.6118077,0.08780769999999993,0.06467865949999999,28631051461.142155,True,26025625778.17822,468691749078.7417,No penalty
