feature1,feature2,correlation,abs_corr
ewma_net_chaos,season_year,0.16562175066183607,0.16562175066183607
ewma_net_chaos,season_year_normalized,0.16562175066183277,0.16562175066183277
injury_shock_away,home_star_missing,0.1552517683834849,0.1552517683834849
total_foul_environment,ewma_net_chaos,-0.14043429127227475,0.14043429127227475
away_ewma_3p_pct,away_composite_elo,0.13787348611629183,0.13787348611629183
ewma_efg_diff,away_composite_elo,-0.1368578516884599,0.1368578516884599
away_ewma_tov_pct,season_progress,-0.13450997958836183,0.13450997958836183
away_ewma_tov_pct,games_into_season,-0.13450997958836053,0.13450997958836053
home_composite_elo,season_progress,-0.13084384437577654,0.13084384437577654
home_composite_elo,games_into_season,-0.13084384437577568,0.13084384437577568
home_star_missing,season_year,0.130276469236366,0.130276469236366
home_star_missing,season_year_normalized,0.13027646923635697,0.13027646923635697
