Date,Actual,Predicted,Model_Prob,Month
2024-11-29,1,1,0.97066575,2024-11
2024-11-29,0,0,0.050958723,2024-11
2024-11-29,1,1,0.9915631,2024-11
2024-11-29,1,0,0.08582062,2024-11
2024-11-29,0,0,0.16080165,2024-11
2024-11-29,1,0,0.037102126,2024-11
2024-11-30,0,1,0.90064543,2024-11
2024-11-30,0,0,0.18429764,2024-11
2024-11-30,1,1,0.9861887,2024-11
2024-11-30,1,0,0.4440023,2024-11
2024-11-30,0,0,0.060169015,2024-11
2024-12-01,0,0,0.33007416,2024-12
2024-12-01,0,1,0.7210257,2024-12
2024-12-01,0,0,0.11680773,2024-12
2024-12-01,1,0,0.36451668,2024-12
2024-12-01,0,0,0.012398216,2024-12
2024-12-01,1,1,0.9941724,2024-12
2024-12-01,1,1,0.85568756,2024-12
2024-12-01,1,1,0.92842174,2024-12
2024-12-01,1,1,0.9576102,2024-12
2024-12-01,1,0,0.1434118,2024-12
2024-12-02,1,1,0.92751735,2024-12
2024-12-02,1,1,0.98108417,2024-12
2024-12-02,1,1,0.9846526,2024-12
2024-12-02,1,1,0.99527884,2024-12
2024-12-03,0,1,0.84200144,2024-12
2024-12-03,1,1,0.9919742,2024-12
2024-12-03,0,0,0.00832558,2024-12
2024-12-03,1,1,0.73594064,2024-12
2024-12-03,1,1,0.91085386,2024-12
2024-12-03,1,1,0.9948148,2024-12
2024-12-03,1,0,0.3718319,2024-12
2024-12-03,1,1,0.955943,2024-12
2024-12-03,1,1,0.98134893,2024-12
2024-12-03,1,0,0.15799063,2024-12
2024-12-03,1,1,0.84241104,2024-12
2024-12-04,0,0,0.4014678,2024-12
2024-12-04,0,0,0.047350943,2024-12
2024-12-04,0,1,0.80602944,2024-12
2024-12-04,1,1,0.78869545,2024-12
2024-12-04,1,1,0.98067594,2024-12
2024-12-04,1,1,0.993443,2024-12
2024-12-05,0,1,0.5040578,2024-12
2024-12-05,1,0,0.01243305,2024-12
2024-12-05,1,1,0.92908573,2024-12
2024-12-05,1,1,0.67763925,2024-12
2024-12-05,1,1,0.9952177,2024-12
2024-12-05,0,0,0.02005621,2024-12
2024-12-05,1,1,0.93644845,2024-12
2024-12-05,0,0,0.016712068,2024-12
2024-12-06,1,0,0.06334924,2024-12
2024-12-06,1,1,0.980613,2024-12
2024-12-06,1,1,0.96169186,2024-12
2024-12-06,0,1,0.60351896,2024-12
2024-12-06,0,0,0.045521878,2024-12
2024-12-06,0,0,0.091252424,2024-12
2024-12-06,0,1,0.78175396,2024-12
2024-12-07,0,1,0.56230766,2024-12
2024-12-07,1,1,0.96088624,2024-12
2024-12-07,0,0,0.06497121,2024-12
2024-12-07,0,0,0.013204573,2024-12
2024-12-07,0,1,0.9385582,2024-12
2024-12-07,1,0,0.008422291,2024-12
2024-12-07,0,0,0.05382305,2024-12
2024-12-08,1,0,0.3258269,2024-12
2024-12-08,1,1,0.9832723,2024-12
2024-12-08,0,1,0.87955046,2024-12
2024-12-08,1,0,0.45409787,2024-12
2024-12-08,1,1,0.8563934,2024-12
2024-12-08,0,0,0.028315859,2024-12
2024-12-08,1,1,0.6900108,2024-12
2024-12-08,1,0,0.22618021,2024-12
2024-12-08,0,0,0.23069426,2024-12
2024-12-08,0,1,0.8989266,2024-12
2024-12-08,0,1,0.7394789,2024-12
2024-12-08,0,0,0.38250038,2024-12
2024-12-09,0,0,0.03131872,2024-12
2024-12-10,1,1,0.84683657,2024-12
2024-12-10,1,1,0.9516691,2024-12
2024-12-11,0,0,0.09835424,2024-12
2024-12-11,1,1,0.60783976,2024-12
2024-12-12,1,1,0.9956032,2024-12
2024-12-12,1,1,0.9974921,2024-12
2024-12-12,0,0,0.08121808,2024-12
2024-12-13,1,1,0.9959882,2024-12
2024-12-13,0,0,0.475287,2024-12
2024-12-13,1,1,0.98691595,2024-12
2024-12-13,1,1,0.9931845,2024-12
2024-12-13,1,1,0.9927799,2024-12
2024-12-13,1,1,0.8859908,2024-12
2024-12-13,0,0,0.03507158,2024-12
2024-12-13,0,1,0.9336319,2024-12
2024-12-14,0,1,0.5123251,2024-12
2024-12-14,0,0,0.015523238,2024-12
2024-12-15,1,0,0.11499201,2024-12
2024-12-15,0,0,0.26060906,2024-12
2024-12-15,1,1,0.9797947,2024-12
2024-12-15,0,0,0.041905846,2024-12
2024-12-15,0,0,0.013144848,2024-12
2024-12-15,1,1,0.99464685,2024-12
2024-12-15,0,0,0.01729062,2024-12
2024-12-16,1,0,0.023119852,2024-12
2024-12-16,0,0,0.09946325,2024-12
2024-12-16,0,0,0.050936658,2024-12
2024-12-16,0,0,0.019810712,2024-12
2024-12-16,0,1,0.7639251,2024-12
2024-12-16,1,1,0.99594134,2024-12
2024-12-19,0,1,0.96313465,2024-12
2024-12-19,1,0,0.120031774,2024-12
2024-12-19,1,0,0.30356088,2024-12
2024-12-19,0,0,0.11894119,2024-12
2024-12-19,0,0,0.056445803,2024-12
2024-12-19,1,1,0.9703683,2024-12
2024-12-19,0,0,0.3423446,2024-12
2024-12-19,0,1,0.78910536,2024-12
2024-12-19,0,1,0.60069263,2024-12
2024-12-19,1,1,0.78052294,2024-12
2024-12-19,0,0,0.19068834,2024-12
2024-12-19,0,0,0.19295968,2024-12
2024-12-19,1,1,0.997509,2024-12
2024-12-20,1,1,0.99137866,2024-12
2024-12-20,1,1,0.9889501,2024-12
2024-12-20,0,0,0.49196088,2024-12
2024-12-21,1,1,0.98302275,2024-12
2024-12-21,1,0,0.27834043,2024-12
2024-12-21,0,0,0.008763363,2024-12
2024-12-21,0,1,0.8812006,2024-12
2024-12-21,1,1,0.9948431,2024-12
2024-12-21,1,0,0.45784068,2024-12
2024-12-21,1,1,0.9953129,2024-12
2024-12-21,0,1,0.9470163,2024-12
2024-12-21,0,0,0.048584435,2024-12
2024-12-21,0,0,0.3242521,2024-12
2024-12-21,0,1,0.8342599,2024-12
2024-12-21,0,0,0.0776142,2024-12
2024-12-22,0,0,0.011370469,2024-12
2024-12-22,0,0,0.20987323,2024-12
2024-12-22,0,0,0.38563767,2024-12
2024-12-23,1,1,0.9726835,2024-12
2024-12-23,0,1,0.7463072,2024-12
2024-12-23,0,0,0.07832653,2024-12
