n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,gamma,reg_alpha,reg_lambda,scale_pos_weight,max_delta_step,avg_accuracy,avg_brier,avg_logloss,avg_roi,std_accuracy
650,4,0.03,0.8,0.8,10,0.2,0.1,1.0,1.0,1,0.6332840965041852,0.22618315555628624,0.6468628734658235,23.537436519238785,0.010685186038054593
700,4,0.03,0.8,0.8,10,0.2,0.15000000000000002,1.0,1.0,1,0.6326932545544068,0.22672158289293484,0.6483735044201744,23.695635521346794,0.009713516727253752
750,4,0.03,0.8,0.8,10,0.2,0.1,1.0,1.0,1,0.6325947808961103,0.22750368824067432,0.6507257930333545,23.13909422861959,0.010603194312081026
500,8,0.03,0.7,0.7,5,0.3,0.5,2.0,1.0,1,0.6323978335795175,0.2313127680679518,0.6619131276015892,23.060349249768137,0.012539838408454263
550,7,0.05,0.9,0.8,1,0.1,0.01,1.0,1.0,0,0.6322993599212211,0.2434669854218933,0.7195870990276839,22.156062575579032,0.010833892694810478
500,6,0.05,0.9,0.8,1,0.1,0.01,1.0,1.0,0,0.6322008862629247,0.23902510518031925,0.6943092622471795,21.980123237717034,0.012914699210836055
700,5,0.03,0.8,0.8,10,0.2,0.1,1.0,1.0,1,0.6322008862629247,0.22892698391166003,0.6551627585953396,23.014547959743133,0.01269890273688052
450,6,0.05,0.7,0.7,5,0.2,0.1,1.0,1.0,0,0.6321024126046283,0.23492493805649609,0.6748539666075428,22.366236412153725,0.011531933911608012
500,7,0.05500000000000001,0.9,0.8,1,0.1,0.01,1.0,1.0,0,0.6320039389463318,0.24500803997167378,0.7227142536115626,22.130569440903482,0.010994706323572464
500,4,0.05,0.7,0.7,5,0.2,0.1,1.5,1.0,0,0.6320039389463318,0.2300272625182636,0.6581625939828297,23.14016307399376,0.014407473611407508
500,7,0.045000000000000005,0.9,0.8,1,0.1,0.01,1.0,1.0,0,0.6319054652880355,0.24008854324190435,0.7024815128351589,22.586297800559088,0.010910596935077956
600,5,0.03,0.7,0.7,7,0.3,0.5,2.0,1.0,0,0.6319054652880355,0.22862685137283142,0.6533174882836643,23.09659531702545,0.007625193769613364
500,8,0.05,0.9,0.8,1,0.1,0.01,1.0,1.0,0,0.6319054652880354,0.24553115938565204,0.7274129133429152,21.97162621261751,0.012095034847105259
600,7,0.05,0.8,0.7,3,0.2,0.1,1.5,1.0,0,0.6315115706548499,0.24310734516096794,0.7097214542510268,22.54043403357441,0.010539902046487158
300,7,0.1,0.9,0.9,1,0.0,0.0,0.5,1.0,0,0.6310192023633678,0.25081100767711334,0.7541878613361894,21.679942734374343,0.010717807102531429
600,6,0.03,0.6,0.7,10,0.3,0.5,2.0,1.0,2,0.6309207287050713,0.22941042826127206,0.6556982142803037,22.733772635617736,0.012662962013336118
500,7,0.05,0.9,0.8,1,0.1,0.01,1.2,1.0,0,0.6309207287050713,0.24228028010583763,0.7114238431819848,22.096778780423314,0.012716453733024448
500,6,0.05,0.7,0.7,5,0.2,0.1,1.0,0.9,0,0.6307237813884786,0.23730058425264083,0.6824470028555331,22.126014485684543,0.009881771505112434
500,7,0.05,0.9,0.8500000000000001,1,0.1,0.01,1.0,1.0,0,0.6305268340718857,0.24298469042405896,0.7139350620202585,22.08553597418455,0.01319547021171838
700,4,0.05,0.8,0.8,5,0.1,0.1,1.0,1.0,0,0.6305268340718857,0.23381051987802431,0.6714329671372724,22.417767848828163,0.014759884177200625
500,6,0.05,0.7,0.7,5,0.2,0.1,1.0,1.1,0,0.6292466765140325,0.23766231039587,0.6844142796389874,21.272670663836333,0.011244984676411801
550,6,0.05,0.7,0.7,5,0.2,0.1,1.0,1.0,0,0.6287543082225504,0.23821250424988852,0.6867140092449837,21.644178178957066,0.013491250574734156
500,6,0.05,0.7,0.7,4,0.2,0.05,1.0,1.0,0,0.6282619399310685,0.237626329960285,0.6846025358925973,21.83349266491399,0.011053640729022013
400,5,0.1,0.9,0.8,1,0.0,0.0,1.0,1.0,0,0.628163466272772,0.24530029467562944,0.7215496396605406,21.435938950368495,0.01110353269745345
400,8,0.07,0.9,0.9,1,0.0,0.0,0.5,1.0,0,0.62767109798129,0.2522750535177384,0.7612304977634367,21.15086075387772,0.009625264900669547
500,6,0.05,0.6,0.6,7,0.5,1.0,2.0,1.0,1,0.6271787296898079,0.23314237160468343,0.6676372527290226,22.22417425285214,0.020230046426264425
500,6,0.05,0.7,0.7,5,0.2,0.01,1.0,1.0,0,0.6269817823732152,0.23842595907723227,0.6859099510182372,21.601864652721122,0.013703769213312006
500,6,0.07,0.8,0.8,3,0.1,0.1,1.0,1.0,2,0.6269817823732151,0.2449094415059295,0.717463657435791,21.235503465872682,0.014091026533989845
500,6,0.05,0.7,0.7,5,0.25,0.1,1.2,1.0,0,0.6255046774987691,0.23767754433694083,0.683053857504315,21.29586306882192,0.011401701839514342
500,6,0.05,0.75,0.75,5,0.15,0.1,1.0,1.0,0,0.6255046774987691,0.23740062297616307,0.6830243915723353,21.068946472456265,0.015059066285543484
500,6,0.05,0.7,0.7,6,0.2,0.15,1.0,1.0,0,0.6252092565238798,0.23769975583226635,0.6828434758504812,20.835444795592267,0.009513798973325004
500,6,0.07,0.8,0.8,3,0.1,0.1,1.0,1.0,1,0.6251107828655835,0.24528456323080752,0.7179794693025081,21.2550423746745,0.015855788006063173
