game_id,home_team,away_team,date,season,home_composite_elo,away_composite_elo,off_elo_diff,def_elo_diff,net_fatigue_score,ewma_efg_diff,ewma_pace_diff,ewma_tov_diff,ewma_orb_diff,ewma_vol_3p_diff,injury_impact_diff,injury_shock_diff,star_mismatch,ewma_chaos_home,ewma_foul_synergy_home,total_foul_environment,league_offensive_context,season_progress,pace_efficiency_interaction,projected_possession_margin,three_point_matchup,net_free_throw_advantage,star_power_leverage,offense_vs_defense_matchup,target_spread,target_spread_cover,target_moneyline_win,target_over_under,target_game_total,injury_matchup_advantage,home_score,away_score,actual_spread,total_points,margin_target,margin_bin,game_date,predicted_margin,raw_prob,calibrated_prob,home_ml_odds,away_ml_odds,market_prob,edge,is_favorite,won,stake,profit,raw_edge
22400766,CHI,DET,2025-02-11,2024-25,1526.9581521808398,1536.9250115427935,-9.966859361953766,-11.215783346111948,0.01999554,0.0260126128976827,0.2593501583380515,-0.0139440275429554,-0.0871935098141428,5.905332010880102,1.0071556604740977,0.2415755632694267,0,15.118035682413796,24.782266595717388,49.20956273702126,8.935956897890819,9.658536585365852,15.378058055736687,-0.1011375373570982,0.3254068074516462,-0.1442157533724774,0.0,202.5269975335065,-40,0,0,1,224,0.0024105317882806,92,132,-40,224,-40,Blowout Loss (<-20),2025-02-11,0.8451043,0.5251061935727794,0.53125,154,-185,0.3937007874015748,0.13754921259842517,False,False,1.0,-1.0,0.1314054061712046
22400775,CHI,DET,2025-02-12,2024-25,1523.976178544744,1564.1297558594977,-40.15357731475365,-11.215783346111948,0.15030634,-0.0205054295602139,0.4809307013892123,-0.0126004986531596,-0.0390520586643548,5.716599119855047,9.470591731029538,8.964650572881084,0,16.550526816229652,23.74359409301356,46.18990950994509,8.935956897890819,9.768292682926829,8.172474261531534,-0.0516525573175144,0.0188028093310671,-0.1317973949454803,0.0,202.5269975335065,-18,0,0,1,238,-0.1373235082960723,110,128,-18,238,-18,Big Loss (-20 to -10),2025-02-12,-0.5723306,0.48299123120551923,0.4848993288590604,190,-230,0.3448275862068966,0.14007174265216382,False,False,1.0,-1.0,0.13816364499862266
22400787,MIN,OKC,2025-02-13,2024-25,1585.744930402254,1647.6102364721069,-61.86530606985275,9.037611319690312,0.14007959,-0.0511367813803657,0.1874417941403976,-0.0208497920343042,0.0036952377652976,-2.884072414324286,11.464559151804176,10.78893895490349,1,12.18100560838796,26.076576701677457,48.10233112375839,8.935956897890819,9.902439024390244,-35.04830980818451,-0.0171545542690066,0.1028217651341801,-0.1265032504922965,11.464559151804176,-1174.4900413157277,15,1,1,1,217,-0.1334103245513004,116,101,15,217,15,Big Win (10 to 20),2025-02-13,-1.1108254,0.46701566961891544,0.44970414201183434,380,-500,0.20833333333333334,0.241370808678501,False,True,1.0,3.8,0.2586823362855821
22400788,IND,MEM,2025-02-20,2024-25,1563.0506501835982,1596.881821492802,-33.83117130920368,30.43740883490977,0.14756798,-0.0201761605049678,-3.244269920751833,0.0441530176760058,-0.0457366418339395,-0.1926177811006439,1.82003182041224,7.660903548636567,0,15.562022691898308,25.730866819450103,52.95068264713412,8.935956897890819,9.939024390243905,23.70321779456572,-0.0015836241579336,0.00993365410088,-0.0750528743278111,0.0,-1573.612924695607,14,1,1,1,240,-0.1683348398221182,127,113,14,240,14,Big Win (10 to 20),2025-02-20,0.4108409,0.5122113418790551,0.53125,200,-270,0.3333333333333333,0.19791666666666669,False,True,1.0,2.0,0.17887800854572183
22400795,SAS,PHX,2025-02-20,2024-25,1456.616298029258,1433.9537228352508,22.662575194007104,89.41694517054884,0.14756798,0.0019849066375704,1.2976423652184792,0.0189485056612132,0.00987855844876,-1.6991310467554896,11.923147431547264,18.677857531157056,1,19.167904066845427,22.505790082538194,45.50197311264188,8.935956897890819,10.024390243902438,204.5883711566289,0.0288270641099732,0.0119291918730636,-0.1234776340222371,11.923147431547264,12963.028089161186,11,1,1,1,229,-0.3182600872485936,120,109,11,229,11,Big Win (10 to 20),2025-02-20,1.501781,0.5445511040508075,0.53125,124,-148,0.44642857142857145,0.08482142857142855,False,True,1.0,1.24,0.09812253262223608
22400796,POR,LAL,2025-02-20,2024-25,1571.307379508212,1467.91650320978,103.39087629843198,-156.50653526304768,0.25820103,-0.0532014845153713,-0.0223449668869051,0.0046805915258172,0.0785756501304477,-4.560753674743189,14.920068869258042,21.469853328268343,1,18.34522622545598,28.365528994570948,53.62925515265769,8.935956897890819,10.03658536585366,1.4075449906563584,0.0832562416562649,0.0266198008073876,-0.1069328267596425,14.920068869258042,-15278.819384125649,-8,0,0,1,212,-0.3606439742584663,102,110,-8,212,-8,Close Loss (-10 to -5),2025-02-20,5.908012,0.6701181151619551,0.70506454816286,100,-120,0.5,0.20506454816286002,False,False,1.0,-1.0,0.17011811516195507
22400805,SAC,GSW,2025-02-21,2024-25,1513.2271930290165,1569.739285671928,-56.51209264291151,32.91552301436491,0.14756798,0.0312596057543593,-0.4579239549257181,-0.0148221522167159,-0.0101020808592764,-7.081979747154328,-1.945886244431402,6.453741188327833,0,15.107949205981804,25.47422302885267,53.45430491982509,8.935956897890819,10.085365853658535,30.16620848292428,-0.0249242330759923,-0.1576052027272674,-0.0615362036385951,-0.0,-2676.5678759499,-24,0,0,1,240,-0.1700844468742825,108,132,-24,240,-24,Blowout Loss (<-20),2025-02-21,-0.5232966,0.48444767252881016,0.4848993288590604,114,-135,0.4672897196261682,0.017609609232892176,False,False,1.0,-1.0,0.017157952902641938
22400814,ATL,DET,2025-02-23,2024-25,1519.2228328723122,1543.5972837291868,-24.374450856874542,73.39651310513182,0.01999554,-0.0170715140777539,2.1536822857610787,0.0096515011215151,-0.0297766881757601,1.8137521789579123,9.424526710524264,0.735814190899033,0,9.349729013804568,28.3069546682362,53.553736794692725,8.935956897890819,10.25609756097561,234.35286249881392,-0.020125187054245,-0.0052004797397548,-0.1029399252380485,0.0,2950.8301313357265,-5,0,0,1,291,0.0590042261571802,143,148,-5,291,-5,Close Loss (-10 to -5),2025-02-23,-0.12767327,0.49620465739016084,0.513953488372093,230,-315,0.30303030303030304,0.21092318534178994,False,False,1.0,-1.0,0.1931743543598578
22400817,MIL,MIA,2025-02-23,2024-25,1559.333438345808,1501.665543895787,57.66789445002087,117.93183790980676,0.01085439,0.0262671437842836,5.6924069259123655,-0.0050441615618316,-0.0502310264021212,-1.3641844188645678,6.165251452923727,3.0179181862467974,0,17.508831598578144,26.98617781714421,49.31734225463238,8.935956897890819,10.292682926829269,533.5038117086497,-0.0552751879639528,-0.0460308341424854,-0.1412981142223801,0.0,28936.446297506864,7,1,1,1,233,-0.0220353177661323,120,113,7,233,7,Close Win (5 to 10),2025-02-23,4.2456765,0.6241389013458805,0.6291793313069909,165,-215,0.37735849056603776,0.2518208407409531,False,True,1.0,1.65,0.2467804107798427
22400820,MIN,OKC,2025-02-23,2024-25,1581.0686283173104,1646.667781515444,-65.59915319813354,9.037611319690312,0.02108114,-0.0424113147687298,1.3115354225537743,-0.0074786505792661,-0.0035785631687429,-0.67785221426373,15.0,10.84094329828112,1,12.475447212741305,25.874766594829644,48.45028635228229,8.935956897890819,10.317073170731708,-225.30610585979184,-0.011057213748009,0.0328191184032268,-0.0973906882061709,15.0,-1174.4900413157277,-7,0,0,1,253,-0.1059209086021118,123,130,-7,253,-7,Close Loss (-10 to -5),2025-02-23,-1.9794338,0.441369168763468,0.4015748031496063,295,-375,0.25316455696202533,0.14841024618758097,False,False,1.0,-1.0,0.18820461180144266
