,off_matchup_advantage,def_matchup_advantage,net_composite_advantage,effective_shooting_gap,turnover_pressure,rebound_friction,total_rebound_control,whistle_leverage,volume_efficiency_diff,injury_leverage,net_fatigue_score,ewma_chaos_home,ewma_foul_synergy_home,total_foul_environment,league_offensive_context,season_progress,three_point_matchup,star_power_leverage,offense_vs_defense_matchup,ewma_pace_diff,ewma_vol_3p_diff,projected_possession_margin
net_fatigue_score,0.03276029541540087,0.042617349977009764,0.02797410677430381,0.034138151302374325,-0.014363910521861912,-0.0020395475155879014,,0.008534129111119202,0.01647241257136647,0.011474240752048045,1.0,-0.014458183687548478,-0.0025173709167850807,0.019962113898569635,-0.010824966716444877,0.019615750527434982,0.00010682092555313313,0.003026842237257584,-0.0240705665493066,-0.03544332958285821,-0.002955546316730541,-0.008419999170787975
ewma_chaos_home,0.057235295551667044,0.009919697757912616,0.05394475770338498,0.03016617550867344,0.02790730216611985,-0.03402875272375487,,-0.03677082559375681,0.0049924751423337,0.010689229356907698,-0.014458183687548478,1.0,-0.12523175296012043,-0.10104075828739162,0.08679060480708665,-0.06683172937345369,0.005992755358515325,-0.025310664759908043,0.002167811301906712,-0.06380866079740169,0.05282487193860154,-0.018670413497880775
ewma_foul_synergy_home,-0.02053445040697341,-0.004462133671032467,-0.017625479136388775,-0.010025014599274087,-0.09167665767448104,-0.021003597298534835,,0.11817323186928527,0.0021721911344511945,0.00895816648069413,-0.0025173709167850807,-0.12523175296012043,1.0,0.750749090165344,-0.03077342108572433,-0.01344434998719261,-0.034832618595151986,0.019007768706918792,-0.045016338105545235,0.03784589058880507,-0.12240410358733414,-0.06110374895941176
total_foul_environment,-0.0028030502615595844,-0.007385000344473607,-0.0023649768792223815,0.007084458849931644,-0.0102960956170364,-0.0003380049125137128,,0.6006293524549523,0.0022244886142058647,0.007902554163307485,0.019962113898569635,-0.10104075828739162,0.750749090165344,1.0,-0.034283391672487236,-0.026584207978399256,-0.03917222991994562,0.016151897917153983,-0.0565536556203172,-0.0034576823247522734,-0.009662724402831223,-0.004999158643419429
league_offensive_context,0.0067164291507221755,0.0033128271993738776,0.0070773979853206975,3.74962138108187e-05,0.011134003792443503,0.012068080695255928,,-0.0447057440599692,0.0365519024208888,-0.01010774658972118,-0.010824966716444877,0.08679060480708665,-0.03077342108572433,-0.034283391672487236,1.0,0.0030321474501123075,-0.014674718447772371,-0.1846675937820103,-0.0011029669528732106,-0.007435276204800746,-0.006027371474932622,0.016196199745269497
season_progress,-0.009113133608696368,-0.003942922708842284,-0.008255864750780969,0.0027391221581232607,-0.009538771331594613,0.0029188854601445336,,-0.047114836096797265,0.043173243637540694,0.005514888434220658,0.019615750527434982,-0.06683172937345369,-0.01344434998719261,-0.026584207978399256,0.0030321474501123075,1.0,-0.010870520988113223,0.04647870855382683,-0.005438793958486285,0.0016919425601850705,-0.0023789221248803768,-0.001651397314403037
three_point_matchup,0.011489507914438955,0.008438577268639428,0.010838895945900776,0.00463523239582799,-0.003163151333084319,-0.0007077118507015697,,0.013910324871476091,-0.018218424886073482,-0.00018863980622417541,0.00010682092555313313,0.005992755358515325,-0.034832618595151986,-0.03917222991994562,-0.014674718447772371,-0.010870520988113223,1.0,-0.0028823293196957003,0.015188034433285457,-0.007795643298034843,-0.004774634039304682,-0.0020926252150494156
star_power_leverage,-0.001728787296897645,0.002468516358848077,-0.0030949391808799713,0.011180853635447834,0.0033325207471693696,-0.0036484864201032307,,-0.004506632301227538,0.00860988584895829,0.009227486461220985,0.003026842237257584,-0.025310664759908043,0.019007768706918792,0.016151897917153983,-0.1846675937820103,0.04647870855382683,-0.0028823293196957003,1.0,-0.015679631123906215,-0.004206992393265657,0.009499459666789839,-0.0018468428855144621
offense_vs_defense_matchup,0.0001108136285921166,0.0007971128858956642,-0.0007921777686834329,-0.004389593236659678,0.005112366428201967,-0.0008753821045431173,,-0.015518161175760986,0.017255967219150892,0.001849034148235671,-0.0240705665493066,0.002167811301906712,-0.045016338105545235,-0.0565536556203172,-0.0011029669528732106,-0.005438793958486285,0.015188034433285457,-0.015679631123906215,1.0,0.01248665876832185,0.0013066512965318512,0.0015203732143314885
ewma_pace_diff,-0.001889597168776054,0.10993535336524661,0.0297070015586627,0.0104509442084852,-0.08628987559022612,0.03691187248953374,,-0.005548570668083504,0.07625853220344006,0.019242516918244655,-0.03544332958285821,-0.06380866079740169,0.03784589058880507,-0.0034576823247522734,-0.007435276204800746,0.0016919425601850705,-0.007795643298034843,-0.004206992393265657,0.01248665876832185,1.0,-0.04347005584819657,-0.005251088771630317
ewma_vol_3p_diff,0.0865922925955066,0.017228701012452906,0.08470679718147943,0.1829647117803166,0.03839472115899951,0.010052609327051138,,0.0400672231426039,-0.011595280867456653,0.021696556446340276,-0.002955546316730541,0.05282487193860154,-0.12240410358733414,-0.009662724402831223,-0.006027371474932622,-0.0023789221248803768,-0.004774634039304682,0.009499459666789839,0.0013066512965318512,-0.04347005584819657,1.0,0.02674885243273819
projected_possession_margin,0.019872525621883675,-0.011147769787749012,0.024630009359900767,-0.3604989639399677,0.3922048030821944,0.8908977004973965,,0.13490744653042464,0.0009714215494742072,-0.05356306367786816,-0.008419999170787975,-0.018670413497880775,-0.06110374895941176,-0.004999158643419429,0.016196199745269497,-0.001651397314403037,-0.0020926252150494156,-0.0018468428855144621,0.0015203732143314885,-0.005251088771630317,0.02674885243273819,1.0
